dataset,neuron,mean,cov,mean_std,cov_std,mean_0,cov_0,jitter_0,loc_0,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,613,[nan nan],"[[ 0.   -0.02]
 [ 0.01  0.01]]",[nan nan],"[[0.01 0.05]
 [0.02 0.02]]",[nan nan],"[[ 0.02 -0.11]
 [ 0.05  0.05]]",[-0.01  0.03],[nan nan],[-0.    0.01],[nan nan],[0.   0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0618
Dataset 05,614,[nan nan],"[[ 0.02 -0.01]
 [ 0.   -0.  ]]",[nan nan],"[[0.03 0.01]
 [0.01 0.  ]]",[nan nan],"[[ 0.09 -0.04]
 [ 0.02 -0.  ]]",[-0.03  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0619
Dataset 05,615,[nan nan],"[[-0.03  0.  ]
 [ 0.02 -0.  ]]",[nan nan],"[[0.05 0.  ]
 [0.03 0.01]]",[nan nan],"[[-0.13  0.  ]
 [ 0.08 -0.02]]",[-0.01 -0.05],[nan nan],[-0.   -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0620
Dataset 05,616,[nan nan],"[[-0.01 -0.03]
 [ 0.02 -0.02]]",[nan nan],"[[0.02 0.05]
 [0.05 0.05]]",[nan nan],"[[-0.05 -0.14]
 [ 0.12 -0.12]]",[-0.04 -0.02],[nan nan],[-0.01 -0.  ],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0621
Dataset 05,617,[nan nan],"[[0.02 0.  ]
 [0.01 0.  ]]",[nan nan],"[[0.04 0.01]
 [0.01 0.01]]",[nan nan],"[[0.11 0.02]
 [0.03 0.01]]",[0.03 0.03],[nan nan],[0.01 0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0622
Dataset 05,618,[nan nan],"[[-0.02  0.02]
 [ 0.   -0.02]]",[nan nan],"[[0.03 0.04]
 [0.   0.03]]",[nan nan],"[[-0.08  0.1 ]
 [ 0.   -0.08]]",[-0.05 -0.  ],[nan nan],[-0.01 -0.  ],[nan nan],[0.02 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0623
Dataset 05,619,[nan nan],"[[-0.02 -0.01]
 [-0.    0.  ]]",[nan nan],"[[0.04 0.02]
 [0.   0.  ]]",[nan nan],"[[-0.1  -0.04]
 [-0.    0.01]]",[-0.03  0.03],[nan nan],[-0.01  0.01],[nan nan],[0.01 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0624
Dataset 05,620,[nan nan],"[[ 0.01  0.  ]
 [-0.01 -0.02]]",[nan nan],"[[0.02 0.  ]
 [0.02 0.04]]",[nan nan],"[[ 0.05  0.01]
 [-0.04 -0.09]]",[-0.04 -0.05],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0625
Dataset 05,621,[nan nan],"[[-0.01 -0.02]
 [ 0.    0.02]]",[nan nan],"[[0.02 0.04]
 [0.01 0.04]]",[nan nan],"[[-0.05 -0.1 ]
 [ 0.02  0.11]]",[ 0.04 -0.01],[nan nan],[ 0.01 -0.  ],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0626
Dataset 05,622,[nan nan],"[[ 0.01 -0.03]
 [ 0.01  0.  ]]",[nan nan],"[[0.02 0.05]
 [0.02 0.  ]]",[nan nan],"[[ 0.05 -0.13]
 [ 0.05  0.01]]",[ 0.02 -0.01],[nan nan],[ 0. -0.],[nan nan],[0.01 0.  ],[nan nan],0.0,LPE10885_2023_10_20_4_0627
Dataset 05,623,[nan nan],"[[0.03 0.02]
 [0.01 0.02]]",[nan nan],"[[0.05 0.04]
 [0.02 0.04]]",[nan nan],"[[0.13 0.1 ]
 [0.06 0.1 ]]",[-0.02 -0.04],[nan nan],[-0.   -0.01],[nan nan],[0.01 0.02],[nan nan],0.0,LPE10885_2023_10_20_4_0628
Dataset 05,624,[nan nan],"[[-0.02  0.01]
 [ 0.01  0.02]]",[nan nan],"[[0.05 0.02]
 [0.01 0.05]]",[nan nan],"[[-0.12  0.06]
 [ 0.03  0.12]]",[-0.05 -0.03],[nan nan],[-0.01 -0.01],[nan nan],[0.02 0.01],[nan nan],0.0,LPE10885_2023_10_20_4_0630
