,model,key,neuron,split,cor
180,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,60,Train,-0.00833109349844702
181,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,60,Val,-0.07492033531683572
182,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,60,Test,-0.08636340917040214
183,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,61,Train,-0.007808485135219084
184,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,61,Val,0.035941344543718196
185,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,61,Test,0.0622571484359683
186,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,62,Train,-0.1641030918588256
187,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,62,Val,-0.12829432087538445
188,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,62,Test,-0.1457004876735822
189,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,63,Train,-0.0038258709495312807
190,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,63,Val,0.007732284331183072
191,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,63,Test,-0.01625431278522777
192,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,64,Train,-0.04491673980910095
193,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,64,Val,-0.047754180529831075
194,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,64,Test,-0.021996111470948765
195,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,65,Train,-0.001655225868349203
196,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,65,Val,-0.02708580393996058
197,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,65,Test,-0.023124808271423887
198,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,66,Train,-0.02488774239201809
199,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,66,Val,-0.019128395251808743
200,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,66,Test,0.05256725894623286
201,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,67,Train,0.008741931189787644
202,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,67,Val,-0.05376888365296669
203,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,67,Test,-0.06629382079548815
204,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,68,Train,0.04996721479785332
205,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,68,Val,0.04670508847719621
206,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,68,Test,0.04620799557439973
207,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,69,Train,-0.023893904206717408
208,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,69,Val,-0.031058838825344038
209,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,69,Test,0.03492981079069021
210,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,70,Train,0.07354289774549212
211,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,70,Val,0.004775033875349086
212,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,70,Test,0.0037891125604941653
213,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,71,Train,-0.011670118020999935
214,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,71,Val,-0.0164367000417728
215,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,71,Test,-0.03493228884061457
216,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,72,Train,-0.11027606411803835
217,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,72,Val,-0.10531463164478967
218,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,72,Test,-0.10931460328326809
219,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,73,Train,0.015062501346975237
220,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,73,Val,0.047160132697006446
221,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,73,Test,-0.010076701578524671
222,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,74,Train,0.02893051334720578
223,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,74,Val,0.06462424658656242
224,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,74,Test,-0.037583146633316106
225,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,75,Train,0.0023447860240265457
226,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,75,Val,-0.07561475268030449
227,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,75,Test,0.04638314759074573
228,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,76,Train,0.08008754436543869
229,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,76,Val,0.056505218903689
230,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,76,Test,0.11306943892628828
231,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,77,Train,0.05319788553591539
232,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,77,Val,0.03992652664685719
233,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,77,Test,0.06047611220760005
234,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,78,Train,0.013952989822766151
235,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,78,Val,0.004039887653079616
236,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,78,Test,-0.06112555216327196
237,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,79,Train,0.053980598266236905
238,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,79,Val,0.15029158174112936
239,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,79,Test,0.10505853289571959
240,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,80,Train,-0.05687800502126932
241,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,80,Val,-0.07215097036457858
242,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,80,Test,-0.02319769387201522
243,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,81,Train,0.3055953488159972
244,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,81,Val,0.19149985462936447
245,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,81,Test,0.37425720654048944
246,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,82,Train,0.056047395796258226
247,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,82,Val,-0.00670453077350114
248,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,82,Test,0.022551546156242105
249,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,83,Train,0.35873932630251576
250,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,83,Val,0.45831994416760974
251,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,83,Test,0.28700521505887
252,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,84,Train,0.4104938269383342
253,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,84,Val,0.4448812746412325
254,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,84,Test,0.38980190325703273
255,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,85,Train,-0.044655540288069145
256,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,85,Val,-0.02574862850778645
257,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,85,Test,-0.02889575906660077
258,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,86,Train,0.0014369454096402402
259,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,86,Val,0.008746857543597057
260,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,86,Test,-0.017964083821954684
261,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,87,Train,0.038965247271261466
262,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,87,Val,-0.020323868149267125
263,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,87,Test,0.01023655501473097
264,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,88,Train,0.12533582658599782
265,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,88,Val,0.13657656336801025
266,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,88,Test,0.14176805633724593
267,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,89,Train,0.10350029253781576
268,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,89,Val,0.2110042519439123
269,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,89,Test,0.1455789983733621
270,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,90,Train,-0.015756958148738624
271,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,90,Val,-0.011054567129177776
272,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,90,Test,-0.11895536647798192
273,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,91,Train,-0.020434004049903906
274,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,91,Val,0.041818740419714555
275,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,91,Test,-0.029212493043768793
276,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,92,Train,0.036165553382509506
277,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,92,Val,0.021713192119662612
278,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,92,Test,0.03046601665574772
279,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,93,Train,-0.05791429880234356
280,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,93,Val,-0.06143940929718165
281,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,93,Test,0.0042982888084465674
282,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,94,Train,-0.05442494541696024
283,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,94,Val,-0.0027078086551995868
284,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,94,Test,-0.03627462873522794
285,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,95,Train,0.12322683707121418
286,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,95,Val,0.06873663318143539
287,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,95,Test,0.09061234581888065
288,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,96,Train,-0.16618949907044192
289,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,96,Val,-0.17491624244709628
290,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,96,Test,-0.19642417851327812
291,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,97,Train,0.12725202163012433
292,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,97,Val,0.11162246683785122
293,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,97,Test,0.06686103255818518
294,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,98,Train,0.03665420177477497
295,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,98,Val,0.1405728475604322
296,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,98,Test,0.05637000595014842
297,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,99,Train,-0.0033573041366557026
298,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,99,Val,0.017979625989818917
299,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,99,Test,0.008769432814178989
